Username,Final Score
programming-assignment-1-bryanly8662,90
programming-assignment-1-jan-miko,100
programming-assignment-1-samsk1nner,90
programming-assignment-1-shresri04,100
programming-assignment-1-slumahan06,100
programming-assignment-1-itali1,100
programming-assignment-1-kempringham,90
programming-assignment-1-t-2ddy,100
programming-assignment-1-poodleboy12,90
programming-assignment-1-Felgy1,100
programming-assignment-1-DinoMrakovic6183,100
programming-assignment-1-vinh15me,90
programming-assignment-1-jmarra7697,100
programming-assignment-1-WGray4784,100
programming-assignment-1-dlacuesta1006,90
programming-assignment-1-jpham7436,0
programming-assignment-1-himelinakai,90
programming-assignment-1-Jeffrey-Huber,100
programming-assignment-1-Aron-K-Joseph,0
programming-assignment-1-ttran3300,90
programming-assignment-1-kpatel0308,100
programming-assignment-1-zubinSDSU,100
programming-assignment-1-MoloTheEpicEyeGo,100
programming-assignment-1-Claire-Fifer49,90
programming-assignment-1-vizarragao,90
programming-assignment-1-RichardP1627,90
programming-assignment-1-Gabe-Littrell,100
programming-assignment-1-jeduvala,0
programming-assignment-1-daikonk,0
programming-assignment-1-PriyeshSDS,100
programming-assignment-1-jpet9,90
programming-assignment-1-EdwardPai1123,100
programming-assignment-1-gerardoalar,90
programming-assignment-1-GillzV,90
programming-assignment-1-alexivaniuk,90
programming-assignment-1-angelfranciscoo,90
programming-assignment-1-zachdawg-1,0
programming-assignment-1-cschell5446,90
programming-assignment-1-yellowstar396,100
programming-assignment-1-sorii26,90
programming-assignment-1-Jkscott8,90
programming-assignment-1-kikom3,90
programming-assignment-1-HammArDev,0
programming-assignment-1-ethanTr10,100
programming-assignment-1-bendennis06,90
programming-assignment-1-jlee6128,100
programming-assignment-1-duyanh0102,100
programming-assignment-1-Gar-Juan,100
